star,32,25,39,48,63,38,47,24,347,25,57,29,44,238,37,64,523,73,49,55,22,33,29,31,417,82,229,31,35,25,19,53,33,54,54,158,267,299,154,18,60,28,32,120,89,681,20,31,38,18,23,65,66,49,282,56,17,24,20,31,65,26,38,26,206,16,19,110,109,23,99,73,232,312,28,23,23,21,26,31,69
sw,244,70,86,74,143,65,54,45,31,425,202,78,78,160,27,27,77,40,572,352,58,32,54,49,26,66,18,74,37,38,26,57,35,80,22,15,56,102,52,24,41,24,27,25,22,31,45,69,25,60,39,14,24,41,18,33,26,170,245,22,23,20,38,19,103,59,51,572,28,23,215,252,24,30,29,119,30,235,155,163,265
koh,34,47,42,80,190,94,135,288,182,45,96,105,127,75,59,314,383,95,80,92,40,46,18,50,57,125,43,48,28,28,49,43,47,39,78,56,41,35,62,37,29,32,29,80,35,28,22,33,32,30,50,37,57,26,23,14,30,23,27,82,126,26,21,286,203,225,235,247,102,26,50,43,298,49,24,357,321,222,29,30,53

koh,179,219,28,28,20,20,14,39,26,150,49,27,48,51,38,76,34,15,91,34,181,268,413,147,143,51,25,170,153,217,353,182,68,179,183,85,29,33,40,51,53,36,152,220,26,36,19,24,16,32,34,52,166,147,14,34,27,37,12,199,203,29,30,50,20,23,21,24,190,249,293,43,41,14,21,17,31,33,156,117,127
star,14,10,419,142,27,17,35,205,24,62,219,13,48,203,29,28,52,27,73,183,18,206,23,29,151,161,32,16,40,224,21,24,30,40,38,16,23,266,17,10,30,46,192,433,25,33,253,79,25,12,20,330,32,20,36,29,132,41,15,271,26,8,18,27,335,34,19,299,12,20,42,15,187,138,254,252,31,37,166,19,17
sw,21,14,34,18,191,26,27,29,186,24,37,23,39,162,23,316,30,50,28,11,35,20,213,209,28,112,142,88,432,30,11,21,34,23,44,198,440,38,37,23,122,18,176,173,40,73,24,29,24,206,30,189,125,17,28,221,309,218,234,32,20,61,30,110,232,40,21,34,29,14,144,203,31,24,41,318,18,28,26,17,29
